"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","CTA|EE","Biomass","55.40"
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","CTA|EE","Biomass","58.70"
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","CTA|EE","Biomass","59.60"
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","CTA|EE","Biomass","60.10"
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","CTA|EE","Biomass","60.50"
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","CTA|EE","Biomass","60.80"
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","CTA|EE","Biomass","58.90"
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","CTA|EE","Biomass","58.40"
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","CTA|EE","Biomass","59.30"
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","CTA|EE","Biomass","59.20"
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","CTA|EE","Biomass","59.60"
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","CTA|EE","Biomass","55.10"
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","CTA|EE","Biomass","54.50"
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","CTA|EE","Biomass","52.00"
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","CTA|EE","Biomass","53.20"
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","CTA|EE","Biomass","53.10"
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","CTA|EE","Biomass","56.50"
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","CTA|EE","Biomass","56.70"
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","CTA|EE","Biomass","56.40"
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","CTA|EE","Biomass","57.00"
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","CTA|EE","Biomass","57.30"
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","CTA|EE","Biomass","57.00"
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","CTA|EE","Biomass","57.30"
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","CTA|EE","Biomass","57.00"
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","CTA|EE","Biomass","57.10"
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","CTA|EE","Biomass","59.80"
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","CTA|EE","Biomass","60.20"
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","CTA|EE","Biomass","60.10"
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","CTA|EE","Biomass","61.20"
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","CTA|EE","Biomass","59.80"
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","CTA|EE","Biomass","58.40"
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","CTA|EE","Biomass","57.40"
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","CTA|EE","Biomass","58.50"
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","CTA|EE","Biomass","58.50"
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","CTA|EE","Biomass","57.80"
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","CTA|EE","Biomass","56.00"
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","CTA|EE","Biomass","55.30"
