timestamp,demand_actual,demand_p5,demand_p50,demand_p95,demand_mean
2026-01-10 08:00:00,1332.93,1059.710081873956,1269.1983929167077,1480.8761938382272,1268.499629377333
2026-01-10 09:00:00,1345.7725,1069.509943653413,1263.8760219676724,1471.4603932075515,1266.0768868428515
2026-01-10 10:00:00,1342.4875,1043.763382765746,1252.7128372848633,1445.9638424595164,1249.257997623291
2026-01-10 11:00:00,1358.7425,1058.103924202178,1258.0413619548565,1458.4145696344901,1259.1960889055974
2026-01-10 12:00:00,1314.53,1045.5107460765996,1240.6086483021268,1449.1822282166968,1245.2629246498075
2026-01-10 13:00:00,1200.445,1041.7748267288678,1255.1802348785993,1448.5182186963002,1252.0614724788447
2026-01-10 14:00:00,1238.8125,1067.4706312685867,1272.8599206791268,1470.3960835279688,1268.9990327790513
2026-01-10 15:00:00,1286.5775,1082.449290565895,1286.7614607312912,1491.7124440292698,1288.4469900463187
2026-01-10 16:00:00,1324.6575,1065.938116611856,1265.891187302344,1485.251820127995,1270.8320453885667
2026-01-10 17:00:00,1346.4925,1039.8686824726647,1235.0015078585384,1438.8207786991345,1238.5494590840458
2026-01-10 18:00:00,1233.47,998.3767101703223,1203.7452318988092,1407.774727924191,1202.4192354907698
2026-01-10 19:00:00,1168.1475,945.9389440906822,1158.257342486911,1351.3163185067763,1152.390173103218
2026-01-10 20:00:00,1148.625,890.6302782861244,1083.5378208155132,1287.4881066486657,1082.6432559352133
2026-01-10 21:00:00,1119.2225,805.486528769535,1007.4000248507563,1205.0459181084184,1007.7272516885224
2026-01-10 22:00:00,1118.83,763.5877544364405,962.6565521998909,1160.6930000524367,960.489598987938
2026-01-10 23:00:00,1135.045,735.8358520415883,924.0836389061417,1134.2313171616388,925.9205010805168
2026-01-11 00:00:00,1122.8675,715.1300041215256,909.2627429846573,1106.5451437131076,913.4006936950419
2026-01-11 01:00:00,1027.5825,703.3207956927365,904.8982221603801,1099.265254120681,903.1621218303251
2026-01-11 02:00:00,1032.86,715.0288790158123,908.2385351518285,1098.6993004628034,906.645756814145
2026-01-11 03:00:00,1040.2675,731.2820393214894,932.0761903554796,1119.6161119640442,929.3639963343992
2026-01-11 04:00:00,1056.43,828.8063613533444,1013.4623212297965,1210.028567719395,1016.1031928501693
2026-01-11 05:00:00,1127.4525,937.5159674642842,1125.6645565670813,1307.2985422239622,1125.262076635323
2026-01-11 06:00:00,1152.445,1020.6375115133968,1215.0399083549944,1395.6864244478188,1209.5356212075212
2026-01-11 07:00:00,1158.885,1059.7958668966376,1239.8498438837983,1429.839925669436,1238.8718889999454
2026-01-11 08:00:00,1164.0900000000001,1071.3430602761857,1243.6253935649947,1433.5548177823034,1245.7295589886266
2026-01-11 09:00:00,1219.71,1053.2803057626222,1240.441873524112,1413.1046280996577,1235.9853294725099
2026-01-11 10:00:00,1224.505,1043.12060590002,1215.5369206323498,1395.3294702596468,1220.117714878402
