"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","CTA|EE","Biomass","83.70"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","CTA|EE","Biomass","80.70"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","CTA|EE","Biomass","78.80"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","CTA|EE","Biomass","77.90"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","CTA|EE","Biomass","76.80"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","CTA|EE","Biomass","76.00"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","CTA|EE","Biomass","77.40"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","CTA|EE","Biomass","75.60"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","CTA|EE","Biomass","77.60"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","CTA|EE","Biomass","78.50"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","CTA|EE","Biomass","79.40"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","CTA|EE","Biomass","78.30"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","CTA|EE","Biomass","77.40"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","CTA|EE","Biomass","77.30"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","CTA|EE","Biomass","77.50"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","CTA|EE","Biomass","82.70"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","CTA|EE","Biomass","83.30"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","CTA|EE","Biomass","87.50"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","CTA|EE","Biomass","89.80"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","CTA|EE","Biomass","88.20"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","CTA|EE","Biomass","85.30"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","CTA|EE","Biomass","85.20"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","CTA|EE","Biomass","86.10"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","CTA|EE","Biomass","86.00"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","CTA|EE","Biomass","83.10"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","CTA|EE","Biomass","84.10"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","CTA|EE","Biomass","85.20"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","CTA|EE","Biomass","87.80"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","CTA|EE","Biomass","86.50"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","CTA|EE","Biomass","83.50"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","CTA|EE","Biomass","81.00"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","CTA|EE","Biomass","81.90"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","CTA|EE","Biomass","84.50"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","CTA|EE","Biomass","84.70"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","CTA|EE","Biomass","86.60"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","CTA|EE","Biomass","86.50"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","CTA|EE","Biomass","88.80"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","CTA|EE","Biomass","89.30"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","CTA|EE","Biomass","88.10"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","CTA|EE","Biomass","88.60"
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","CTA|EE","Biomass","88.60"
