"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"12/01/2020 12:00:00 - 12/01/2020 13:00:00","CTA|EE","Biomass","62.20"
"12/01/2020 13:00:00 - 12/01/2020 14:00:00","CTA|EE","Biomass","62.30"
"12/01/2020 14:00:00 - 12/01/2020 15:00:00","CTA|EE","Biomass","62.50"
"12/01/2020 15:00:00 - 12/01/2020 16:00:00","CTA|EE","Biomass","66.50"
"12/01/2020 16:00:00 - 12/01/2020 17:00:00","CTA|EE","Biomass","67.50"
"12/01/2020 17:00:00 - 12/01/2020 18:00:00","CTA|EE","Biomass","67.40"
"12/01/2020 18:00:00 - 12/01/2020 19:00:00","CTA|EE","Biomass","67.00"
"12/01/2020 19:00:00 - 12/01/2020 20:00:00","CTA|EE","Biomass","65.10"
"12/01/2020 20:00:00 - 12/01/2020 21:00:00","CTA|EE","Biomass","64.30"
"12/01/2020 21:00:00 - 12/01/2020 22:00:00","CTA|EE","Biomass","64.10"
"12/01/2020 22:00:00 - 12/01/2020 23:00:00","CTA|EE","Biomass","66.10"
"12/01/2020 23:00:00 - 13/01/2020 00:00:00","CTA|EE","Biomass","66.50"
"13/01/2020 00:00:00 - 13/01/2020 01:00:00","CTA|EE","Biomass","65.70"
"13/01/2020 01:00:00 - 13/01/2020 02:00:00","CTA|EE","Biomass","64.40"
"13/01/2020 02:00:00 - 13/01/2020 03:00:00","CTA|EE","Biomass","64.10"
"13/01/2020 03:00:00 - 13/01/2020 04:00:00","CTA|EE","Biomass","61.10"
"13/01/2020 04:00:00 - 13/01/2020 05:00:00","CTA|EE","Biomass","61.70"
"13/01/2020 05:00:00 - 13/01/2020 06:00:00","CTA|EE","Biomass","60.60"
"13/01/2020 06:00:00 - 13/01/2020 07:00:00","CTA|EE","Biomass","60.00"
"13/01/2020 07:00:00 - 13/01/2020 08:00:00","CTA|EE","Biomass","60.00"
"13/01/2020 08:00:00 - 13/01/2020 09:00:00","CTA|EE","Biomass","60.20"
