timestamp,mc_mean,mc_95_percentile,actual_demand_2026
2026-01-14 12:00:00,1400.0206057337552,1675.6317383167839,1461.4424999999999
2026-01-14 13:00:00,1410.09760857563,1636.7790330900107,1495.6975
2026-01-14 14:00:00,1419.0365775273042,1684.0974520859113,1493.45
2026-01-14 15:00:00,1438.053757283215,1652.5619022436636,1487.2649999999999
2026-01-14 16:00:00,1417.7857540509767,1660.0803024793809,1430.9275
2026-01-14 17:00:00,1390.569007158772,1608.4391197888037,1394.605
2026-01-14 18:00:00,1358.6912357511908,1610.8893691025557,1368.5049999999999
2026-01-14 19:00:00,1306.4893779856766,1558.2705069511487,1319.1675
2026-01-14 20:00:00,1233.968234108145,1537.8725534040536,1266.62
2026-01-14 21:00:00,1174.1577027127385,1420.1385465595345,1197.275
2026-01-14 22:00:00,1123.4016209414572,1373.8436301734728,1195.87
2026-01-14 23:00:00,1082.8667124032536,1340.7731720530426,1184.75
2026-01-15 00:00:00,1066.7923908262894,1340.0640986361514,1179.55
2026-01-15 01:00:00,1064.8807638618646,1312.113390290416,1196.8075
2026-01-15 02:00:00,1067.6013755331596,1284.2271928592581,1175.92
2026-01-15 03:00:00,1090.310084322844,1315.6131356401918,1156.275
2026-01-15 04:00:00,1180.349320563885,1436.6046262071638,1253.295
2026-01-15 05:00:00,1295.9854985559148,1565.1662733185851,1386.455
2026-01-15 06:00:00,1373.3410182780658,1571.8077278286244,1420.845
2026-01-15 07:00:00,1414.5559560064012,1684.352303797805,1488.78
2026-01-15 08:00:00,1413.8219191213666,1662.934869469238,1489.2275
2026-01-15 09:00:00,1394.0668106686617,1636.4400734690637,1525.6925
2026-01-15 10:00:00,1381.0353383141526,1651.4153845485475,1490.6399999999999
2026-01-15 11:00:00,1393.3276534870922,1630.134823133024,1503.0674999999999
2026-01-15 12:00:00,1388.1906092820311,1607.2041721901264,1485.375
2026-01-15 13:00:00,1392.7899802131851,1667.3718467174015,1478.40875
2026-01-15 14:00:00,1398.5833945060406,1627.2821520897216,1471.4425
2026-01-15 15:00:00,1429.6750085191143,1654.1468193174433,1401.15
2026-01-15 16:00:00,1409.3609592877692,1598.5237371952167,1401.8025
2026-01-15 17:00:00,1374.2939106715355,1573.8196694334183,1410.7575
2026-01-15 18:00:00,1337.466247090658,1509.0569731052947,1351.5725
2026-01-15 19:00:00,1282.972230456096,1500.178113225854,1303.18
2026-01-15 20:00:00,1217.5145075627067,1431.1788935590355,1221.69
2026-01-15 21:00:00,1144.2263180803411,1387.9500795207114,1167.365
2026-01-15 22:00:00,1098.2353381500534,1332.3549091175819,1135.43
2026-01-15 23:00:00,1067.2261144008405,1300.6698301603178,1129.23
2026-01-16 00:00:00,1045.1036483704527,1252.8047587516512,1100.9175
2026-01-16 01:00:00,1034.1433575843919,1231.0178099955363,1082.8075
2026-01-16 02:00:00,1020.6473708808513,1205.74823586234,1100.5325
2026-01-16 03:00:00,1056.1021601433129,1249.3986297540753,1136.3125
2026-01-16 04:00:00,1127.606976713812,1310.0158908031801,1240.6875
2026-01-16 05:00:00,1241.937840705253,1417.585319237362,1297.9825
2026-01-16 06:00:00,1328.95885125083,1533.1259434482886,1345.06
2026-01-16 07:00:00,1344.4551770327523,1557.8643056176163,1349.2849999999999
2026-01-16 08:00:00,1358.6834087915247,1530.7662947487888,1394.4925
2026-01-16 09:00:00,1355.3076438432474,1590.6181300959538,1406.24
2026-01-16 10:00:00,1328.5267130918191,1509.7928668986433,1448.285
2026-01-16 11:00:00,1341.570969948808,1506.4300699706625,1449.68
2026-01-16 12:00:00,1328.2129608766388,1505.3720545934382,1430.5575
2026-01-16 13:00:00,1328.7195185647467,1510.6023596986845,1425.4475
2026-01-16 14:00:00,1341.9467968113831,1511.2731909763459,1460.595
2026-01-16 15:00:00,1363.0837262401083,1531.5423861557279,1455.91
2026-01-16 16:00:00,1347.7223034506883,1524.81019759143,1431.4825
2026-01-16 17:00:00,1319.3443953949813,1496.3387070025476,1328.52
2026-01-16 18:00:00,1273.2630782329668,1463.605555191141,1318.4775
2026-01-16 19:00:00,1230.4582147453987,1406.9662800159222,1324.2075
2026-01-16 20:00:00,1157.9516317697455,1345.4708458618961,1299.13
2026-01-16 21:00:00,1081.9593876052052,1259.635886407162,1235.3075
2026-01-16 22:00:00,1042.4170932795569,1249.0036237010079,1214.0049999999999
2026-01-16 23:00:00,1015.3111858779713,1184.4273508110655,1145.6750000000002
2026-01-17 00:00:00,933.6897272490191,1124.267767182228,1145.5
2026-01-17 01:00:00,933.8389714854848,1129.7966353822599,1175.3875
2026-01-17 02:00:00,943.0617141884956,1143.1257421857524,1126.1675
2026-01-17 03:00:00,959.0714136909684,1141.0736954244996,1112.1425
2026-01-17 04:00:00,1049.5653350121302,1214.8545426433714,1125.72
2026-01-17 05:00:00,1170.2240933557168,1356.2473723986723,1153.6575
2026-01-17 06:00:00,1258.0561753452334,1467.019918618727,1206.6375
2026-01-17 07:00:00,1280.3126129746329,1498.8877730749095,1278.2525
2026-01-17 08:00:00,1287.4335314496211,1507.9628322434903,1316.1275
2026-01-17 09:00:00,1291.8501142065493,1507.0193765148133,1305.1325
2026-01-17 10:00:00,1277.3444128326707,1457.2787945926896,1288.8625
2026-01-17 11:00:00,1274.449451133535,1445.1523511963007,1278.605
2026-01-17 12:00:00,1272.3638425444765,1467.0801669493703,1277.045
2026-01-17 13:00:00,1268.7487702954186,1437.3888410576735,1302.4775
2026-01-17 14:00:00,1289.1968429813628,1447.1094954808548,1294.13
2026-01-17 15:00:00,1309.4272152592448,1491.9759388275027,1311.9575
2026-01-17 16:00:00,1286.0509548649952,1512.8374386994092,1260.5275000000001
2026-01-17 17:00:00,1254.7151910980954,1453.949781177324,1242.4925
2026-01-17 18:00:00,1215.6072345698365,1400.2635759826505,1286.58
2026-01-17 19:00:00,1161.784030136275,1346.4313062583767,1205.1425
2026-01-17 20:00:00,1091.1987549540097,1260.5828004331795,1164.8975
2026-01-17 21:00:00,1017.5004181553297,1181.8768373503578,1109.325
2026-01-17 22:00:00,977.1601912445835,1159.8895230466844,1073.22
2026-01-17 23:00:00,941.8895483098215,1137.1263299174802,1060.155
2026-01-18 00:00:00,921.0951766924499,1075.0394363529485,1020.8925
2026-01-18 01:00:00,907.9088204242913,1077.899567650419,1042.285
2026-01-18 02:00:00,906.7266418355706,1072.6002555393302,1027.2875
2026-01-18 03:00:00,923.5877390220767,1092.6733769331358,1037.935
2026-01-18 04:00:00,1014.0274806616547,1174.783677737938,1055.3799999999999
2026-01-18 05:00:00,1122.5852939747836,1298.426569613321,1102.2525
2026-01-18 06:00:00,1204.2649050518257,1373.0481018494395,1111.2675
2026-01-18 07:00:00,1220.281147010646,1370.0369832770994,1163.99
2026-01-18 08:00:00,1231.7945827221174,1414.2754575000397,1192.3725
2026-01-18 09:00:00,1225.4908168322647,1368.0648164979034,1220.125
2026-01-18 10:00:00,1207.3322854204723,1355.3702700776535,1342.0375
2026-01-18 11:00:00,1212.0219127872717,1369.0566413676697,1221.065
2026-01-18 12:00:00,1198.5279053149561,1384.5967267543044,1194.87
2026-01-18 13:00:00,1206.8505768020393,1353.1006183579332,1169.8775
2026-01-18 14:00:00,1218.2997199471638,1361.6521269786156,1166.8325
2026-01-18 15:00:00,1245.6587814962138,1396.114135249717,1224.5925
2026-01-18 16:00:00,1232.4694508647733,1382.6675909838104,1297.0325
2026-01-18 17:00:00,1187.7440592630817,1332.899199941638,1268.845
2026-01-18 18:00:00,1167.4705207664988,1307.7123130373852,1235.245
2026-01-18 19:00:00,1110.1288552531078,1268.2260903036686,1189.9850000000001
2026-01-18 20:00:00,1043.6312838612878,1198.0331337368848,1142.1950000000002
2026-01-18 21:00:00,973.7390466353197,1116.144957863096,1081.5825
2026-01-18 22:00:00,924.8073415034366,1046.3439996762015,1074.92
2026-01-18 23:00:00,891.4397477141658,1044.361584173436,1067.33
2026-01-19 00:00:00,949.9900528219175,1105.3681989837507,1088.685
2026-01-19 01:00:00,946.6209720652408,1096.3686920569517,1121.1725000000001
2026-01-19 02:00:00,950.2508171181433,1086.6443295673178,1156.6825
2026-01-19 03:00:00,976.3276836528571,1109.6803007515996,1157.15
2026-01-19 04:00:00,1072.2833628362184,1233.5860054441332,1217.975
2026-01-19 05:00:00,1176.248287932415,1300.6213532753638,1325.7225
2026-01-19 06:00:00,1271.1895180527968,1406.1625091170097,1437.675
2026-01-19 07:00:00,1296.0516231475467,1422.1765255475461,1450.0575
2026-01-19 08:00:00,1299.6694202369756,1458.4792682440625,1480.2475
2026-01-19 09:00:00,1302.8904000189123,1454.9914524070455,1467.7024999999999
2026-01-19 10:00:00,1292.8208862459617,1441.346956918028,1461.2825
2026-01-19 11:00:00,1302.5931776258667,1458.3030232092515,1442.3625
2026-01-19 12:00:00,1284.879359770539,1437.6457371980541,1415.045
2026-01-19 13:00:00,1299.6746920067135,1468.2313119157664,1396.5625
2026-01-19 14:00:00,1318.8069955619983,1501.7872920389743,1411.7150000000001
2026-01-19 15:00:00,1342.4333754310012,1522.7229137703996,1423.075
2026-01-19 16:00:00,1322.8145710808615,1493.429181468222,1382.6225
2026-01-19 17:00:00,1303.7841393815725,1481.5694191215364,1408.61
2026-01-19 18:00:00,1269.80258752083,1446.2977247389344,1346.85
2026-01-19 19:00:00,1220.3670650525994,1390.3182870555338,1299.925
2026-01-19 20:00:00,1162.311207903781,1323.6278839100726,1250.8899999999999
2026-01-19 21:00:00,1095.7235002018442,1278.4678837531699,1174.43
2026-01-19 22:00:00,1051.2040469244537,1246.460797395562,1133.5975
2026-01-19 23:00:00,1018.5794508592647,1203.1731998406265,1128.185
